<<<<<<< HEAD
Unit,multiplier,measure,quarter_end,value,project,year
$,Million,Net (Loss) Earnings,12/31/15,-4271,Total,2015
 ,Actual,Tonnes of ore mined,12/31/15,200700,Red Lake,2015
 ,Actual,Average mill head grade (Au grams/tonne),12/31/15,15.57,Red Lake,2015
 ,Actual,Average gold recovery rate %,12/31/15,0.95,Red Lake,2015
 ,Actual,Gold (ounces) produced,12/31/15,99900,Red Lake,2015
 ,Actual,Gold (ounces) sold,12/31/15,91500,Red Lake,2015
$,Actual,All-in sustaining costs (per gold ounce),12/31/15,959,Red Lake,2015
$,Actual,By-product cash costs (per gold ounce),12/31/15,610,Red Lake,2015
$,Actual,Mining cost per tonne,12/31/15,170.34,Red Lake,2015
$,Actual,Milling cost per tonne,12/31/15,39.64,Red Lake,2015
$,Actual,General administrative cost per tonne,12/31/15,58.99,Red Lake,2015
$,Million,Revenues (millions),12/31/15,102,Red Lake,2015
$,Million,Depreciation and depletion (millions),12/31/15,32,Red Lake,2015
$,Million,Earnings from operations (millions),12/31/15,-1201,Red Lake,2015
$,Million,Expenditures on mining interests (millions),12/31/15,44,Red Lake,2015
 ,Actual,Tonnes of ore milled,12/31/15,1117700,Porcupine,2015
 ,Actual,Average mill head grade (Au grams/tonne),12/31/15,2.43,Porcupine,2015
 ,Actual,Average gold recovery rate %,12/31/15,0.89,Porcupine,2015
 ,Actual,Gold (ounces) produced,12/31/15,74900,Porcupine,2015
 ,Actual,Gold (ounces) sold,12/31/15,74200,Porcupine,2015
$,Actual,All-in sustaining costs (per ounce),12/31/15,1031,Porcupine,2015
$,Actual,By-product cash costs (per gold ounce),12/31/15,769,Porcupine,2015
$,Actual,Mining cost per tonne,12/31/15,85.85,Porcupine,2015
$,Actual,Milling cost per tonne,12/31/15,7.67,Porcupine,2015
$,Actual,General administrative cost per tonne,12/31/15,11.23,Porcupine,2015
$,Million,Revenues (millions),12/31/15,82,Porcupine,2015
$,Million,Depreciation and depletion (millions),12/31/15,14,Porcupine,2015
$,Million,Earnings from operations (millions),12/31/15,-52,Porcupine,2015
$,Million,Expenditures on mining interests (millions),12/31/15,24,Porcupine,2015
 ,Actual,Tonnes of ore milled,12/31/15,314300,Musselwhite,2015
 ,Actual,Average mill head grade (Au grams/tonne),12/31/15,7.95,Musselwhite,2015
 ,Actual,Average gold recovery rate %,12/31/15,0.97,Musselwhite,2015
 ,Actual,Gold (ounces) produced,12/31/15,81200,Musselwhite,2015
 ,Actual,Gold (ounces) sold,12/31/15,83100,Musselwhite,2015
$,Actual,All-in sustaining costs (per ounce),12/31/15,699,Musselwhite,2015
$,Actual,By-product cash costs (per gold ounce),12/31/15,527,Musselwhite,2015
$,Actual,Mining cost per tonne,12/31/15,59.55,Musselwhite,2015
$,Actual,Milling cost per tonne,12/31/15,11.97,Musselwhite,2015
$,Actual,General administrative cost per tonne,12/31/15,40.03,Musselwhite,2015
$,Million,Revenues (millions),12/31/15,92,Musselwhite,2015
$,Million,Depreciation and depletion (millions),12/31/15,19,Musselwhite,2015
$,Million,Earnings from operations (millions),12/31/15,33,Musselwhite,2015
$,Million,Expenditures on mining interests (millions),12/31/15,11,Musselwhite,2015
 ,Actual,Tonnes of ore milled,12/31/15,517200,Eleonore,2015
 ,Actual,Average mill head grade (Au grams/tonne),12/31/15,7.57,Eleonore,2015
 ,Actual,Average gold recovery rate %,12/31/15,0.85,Eleonore,2015
 ,Actual,Gold (ounces) produced,12/31/15,105100,Eleonore,2015
 ,Actual,Gold (ounces) sold,12/31/15,102500,Eleonore,2015
$,Actual,All-in sustaining costs (per ounce),12/31/15,761,Eleonore,2015
$,Actual,By-product cash costs (per gold ounce),12/31/15,677,Eleonore,2015
$,Actual,Mining cost per tonne,12/31/15,58.26,Eleonore,2015
$,Actual,Milling cost per tonne,12/31/15,37.85,Eleonore,2015
$,Actual,General administrative cost per tonne,12/31/15,32.31,Eleonore,2015
$,Million,Revenues (millions),12/31/15,112,Eleonore,2015
$,Million,Depreciation and depletion (millions),12/31/15,59,Eleonore,2015
$,Million,Loss from operations (millions),12/31/15,-410,Eleonore,2015
$,Million,Expenditures on mining interests (millions),12/31/15,28,Eleonore,2015
 ,Actual,Tonnes of ore mined,12/31/15,9849700,Penasquito,2015
 ,Actual,Tonnes of waste removed,12/31/15,38590400,Penasquito,2015
 ,Actual,Average head grade (Au grams/tonne),12/31/15,0.79,Penasquito,2015
 ,Actual,Average head grade (Ag grams/tonne),12/31/15,26.88,Penasquito,2015
 ,Actual,Average head grade (Pb%),12/31/15,0.0027,Penasquito,2015
 ,Actual,Average head grade (Zn%),12/31/15,0.0063,Penasquito,2015
 ,Actual,Sulphide Ore - Tonnes of ore milled,12/31/15,9854000,Penasquito,2015
 ,Actual,Gold average recovery rate (%),12/31/15,0.68,Penasquito Sulphide,2015
 ,Actual,Silver average recovery rate (%),12/31/15,0.81,Penasquito Sulphide,2015
 ,Actual,Lead average recovery rate (%),12/31/15,0.72,Penasquito Sulphide,2015
 ,Actual,Zinc average recovery rate (%),12/31/15,0.77,Penasquito Sulphide,2015
 ,Actual,Gold (ounces) produced,12/31/15,169900,Penasquito,2015
 ,Actual,Silver (ounces) produced,12/31/15,6459000,Penasquito,2015
 ,Thousand,Lead (thousands of pounds) produced,12/31/15,40500,Penasquito,2015
 ,Thousand,Zinc (thousands of pounds) produced,12/31/15,89300,Penasquito,2015
 ,Actual,Gold (ounces) sold,12/31/15,195000,Penasquito,2015
 ,Actual,Silver (ounces) sold,12/31/15,6794200,Penasquito,2015
 ,Thousand,Lead (thousands of pounds) sold,12/31/15,41700,Penasquito,2015
 ,Thousand,Zinc (thousands of pounds) sold,12/31/15,98000,Penasquito,2015
$,Actual,All-in sustaining costs (per ounce),12/31/15,687,Penasquito,2015
$,Actual,By-product cash costs (per gold ounce),12/31/15,451,Penasquito,2015
$,Actual,Mining cost per tonne,12/31/15,2.11,Penasquito,2015
$,Actual,Milling cost per tonne,12/31/15,6.41,Penasquito,2015
$,Actual,General admistrative cost per tonne,12/31/15,2.96,Penasquito,2015
$,Million,Revenues (millions),12/31/15,354,Penasquito,2015
$,Million,Depreciation and depletion (millions),12/31/15,100,Penasquito,2015
$,Million,Earnings (Loss) from operations (millions),12/31/15,-1152,Penasquito,2015
$,Million,Expenditures on mining interests (millions),12/31/15,69,Penasquito,2015
 ,Actual,Tonnes of ore mined,12/31/15,5481800,Los Filos,2015
 ,Actual,Tonnes of waste removed,12/31/15,8368000,Los Filos,2015
 ,Actual,Ratio of waste to ore,12/31/15,1.6,Los Filos,2015
 ,Actual,Tonnes of ore processed,12/31/15,5467700,Los Filos,2015
 ,Actual,Average grade processed (Au grams/tonne),12/31/15,0.78,Los Filos,2015
 ,Actual,Average gold recovery rate %,12/31/15,0.55,Los Filos,2015
 ,Actual,Gold (ounces) produced,12/31/15,74400,Los Filos,2015
 ,Actual,Gold (ounces) sold,12/31/15,77100,Los Filos,2015
$,Actual,All-in sustaining costs (per ounce),12/31/15,2131,Los Filos,2015
$,Actual,By-product cash costs (per gold ounce),12/31/15,2004,Los Filos,2015
$,Actual,Open-pit mining cost per tonne,12/31/15,1.61,Los Filos,2015
$,Actual,Processing cost per tonne leached,12/31/15,4.14,Los Filos,2015
$,Actual,General administrative cost per tonne,12/31/15,1.93,Los Filos,2015
$,Million,Revenues (millions),12/31/15,85,Los Filos,2015
$,Million,Depreciation and depletion (millions),12/31/15,43,Los Filos,2015
$,Million,Earnings from operations (millions),12/31/15,-862,Los Filos,2015
$,Million,Expenditures on mining interests (millions),12/31/15,9,Los Filos,2015
 ,Actual,Tonnes of ore milled,12/31/15,309800,Marlin,2015
 ,Actual,Average mill head grade (Au grams/tonne),12/31/15,4.12,Marlin,2015
 ,Actual,Average mill head grade (Ag grams/tonne),12/31/15,198,Marlin,2015
 ,Actual,Average gold recovery rate %,12/31/15,0.97,Marlin,2015
 ,Actual,Average silver recovery rate %,12/31/15,0.95,Marlin,2015
 ,Actual,Gold (ounces) produced,12/31/15,40900,Marlin,2015
 ,Actual,Silver (ounces) produced,12/31/15,1883800,Marlin,2015
 ,Actual,Gold (ounces) sold,12/31/15,44100,Marlin,2015
 ,Actual,Silver (ounces) sold,12/31/15,1992900,Marlin,2015
$,Actual,All-in sustaining costs (per ounce),12/31/15,787,Marlin,2015
$,Actual,By-product cash costs (per gold ounce),12/31/15,287,Marlin,2015
$,Actual,Mining cost per tonne,12/31/15,66.92,Marlin,2015
$,Actual,Milling cost per tonne,12/31/15,25.74,Marlin,2015
$,Actual,General administrative cost per tonne,12/31/15,30.86,Marlin,2015
$,Million,Revenues (millions),12/31/15,79,Marlin,2015
$,Million,Depreciation and depletion (millions),12/31/15,70,Marlin,2015
$,Million,Earnings from operations (millions),12/31/15,-328,Marlin,2015
$,Million,Expenditures on mining interests (millions),12/31/15,17,Marlin,2015
 ,Actual,Tonnes of ore milled,12/31/15,330200,Cerro Negro,2015
 ,Actual,Average mill head grade (Gold gramms/tonne),12/31/15,15.34,Cerro Negro,2015
 ,Actual,Average mill head grade (Silver gramms/tonne),12/31/15,163.6,Cerro Negro,2015
 ,Actual,Average gold recovery rate %,12/31/15,0.94,Cerro Negro,2015
 ,Actual,Average silver recovery rate %,12/31/15,0.86,Cerro Negro,2015
 ,Actual,Gold (ounces) produced,12/31/15,147800,Cerro Negro,2015
 ,Actual,Silver (ounces) produced,12/31/15,1489400,Cerro Negro,2015
 ,Actual,Gold equivalent (ounces) produced,12/31/15,173000,Cerro Negro,2015
 ,Actual,Gold (ounces) sold,12/31/15,132300,Cerro Negro,2015
 ,Actual,Silver (ounces) sold,12/31/15,1450000,Cerro Negro,2015
$,Actual,Total cash costs - by - product (per ounce),12/31/15,577,Cerro Negro,2015
$,Actual,Total cash costs - co - product (per ounce),12/31/15,627,Cerro Negro,2015
$,Actual,All in sustaining costs (per ounce),12/31/15,872,Cerro Negro,2015
$,Actual,Mining cost per tonne,12/31/15,87.5,Cerro Negro,2015
$,Actual,Milling cost per tonne,12/31/15,43.59,Cerro Negro,2015
$,Actual,General administrative cost per tonne,12/31/15,110.3,Cerro Negro,2015
$,Million,Revenues (millions),12/31/15,166,Cerro Negro,2015
$,Million,Depreciation and depletion (millions),12/31/15,76,Cerro Negro,2015
$,Million,Earnings (loss) from operations (millions),12/31/15,-8,Cerro Negro,2015
$,Million,Expenditures on mining interests (millions),12/31/15,20,Cerro Negro,2015
 ,Actual,Tonnes of ore mined,12/31/15,3116700,Alumbrera,2015
 ,Actual,Tonnes of waste removed,12/31/15,3563400,Alumbrera,2015
 ,Actual,Ratio of waste to ore,12/31/15,1.1,Alumbrera,2015
 ,Actual,Tonnes of ore milled,12/31/15,3165300,Alumbrera,2015
 ,Actual,Average mill head grade (Au grams/tonne),12/31/15,0.35,Alumbrera,2015
 ,Actual,Average mill head grade (Copper %),12/31/15,0.0036,Alumbrera,2015
 ,Actual,Average gold recovery rate %,12/31/15,0.72,Alumbrera,2015
 ,Actual,Average copper recovery rate %,12/31/15,0.86,Alumbrera,2015
 ,Actual,Gold (ounces) produced,12/31/15,25800,Alumbrera,2015
 ,Thousand,Copper (thousands of pounds) produced,12/31/15,21300,Alumbrera,2015
 ,Actual,Gold (ounces) sold,12/31/15,24700,Alumbrera,2015
 ,Thousand,Copper (thousands of pounds) sold,12/31/15,16900,Alumbrera,2015
$,Actual,All-in sustaining costs (per gold ounce),12/31/15,1274,Alumbrera,2015
$,Actual,By-product cash costs (per gold ounce),12/31/15,1028,Alumbrera,2015
$,Actual,Mining cost per tonne,12/31/15,3.44,Alumbrera,2015
$,Actual,Milling cost per tonne,12/31/15,5.83,Alumbrera,2015
$,Actual,General administrative cost per tonne,12/31/15,1.31,Alumbrera,2015
$,Million,Revenues (millions),12/31/15,58,Alumbrera,2015
$,Million,Depreciation and depletion (millions),12/31/15,7,Alumbrera,2015
$,Million,Earnings from operations (millions),12/31/15,-114,Alumbrera,2015
$,Million,Expenditures on mining interests (millions),12/31/15,3,Alumbrera,2015
 ,Actual,Tonnes of ore mined,12/31/15,2851000,Pueblo Viejo,2015
 ,Actual,Tonnes of waste removed,12/31/15,1324100,Pueblo Viejo,2015
 ,Actual,Tonnes of ore processed,12/31/15,546300,Pueblo Viejo,2015
 ,Actual,Average grade - gold,12/31/15,5.93,Pueblo Viejo,2015
 ,Actual,Average gold recovey rate %,12/31/15,0.86,Pueblo Viejo,2015
 ,Actual,Gold (ounces) produced,12/31/15,89500,Pueblo Viejo,2015
 ,Actual,Gold (ounces) sold,12/31/15,93600,Pueblo Viejo,2015
$,Actual,All-in sustaining costs (per gold ounce),12/31/15,608,Pueblo Viejo,2015
$,Actual,By-product cash cost (per gold ounce),12/31/15,502,Pueblo Viejo,2015
$,Actual,Mining cost per tonne,12/31/15,2.83,Pueblo Viejo,2015
$,Actual,Milling cost per tonne,12/31/15,60.76,Pueblo Viejo,2015
$,Actual,General administrative cost per tonne,12/31/15,15.36,Pueblo Viejo,2015
$,Million,Revenues,12/31/15,108,Pueblo Viejo,2015
$,Million,Depreciation and depletion,12/31/15,22,Pueblo Viejo,2015
$,Million,Earnings (loss) from operations,12/31/15,-576,Pueblo Viejo,2015
$,Million,Expenditures on mining interests,12/31/15,8,Pueblo Viejo,2015
 ,Actual,Gold (ounces) produced,3/31/16,783700,Total,2016
 ,Actual,Silver (ounces) produced,3/31/16,7700000,Total,2016
 ,Thousand,Copper (thousands of pounds) produced,3/31/16,17200,Total,2016
 ,Thousand,Lead (thousands of pounds) produced,3/31/16,29000,Total,2016
 ,Thousand,Zinc (thousands of pounds) produced,3/31/16,71100,Total,2016
 ,Actual,Gold (ounces) sold,3/31/16,799400,Total,2016
$,Actual,Average realized gold price (per ounce),3/31/16,1203,Total,2016
$,Actual,All-in sustaining costs $/oz (per gold ounce) (from continuing operations),3/31/16,836,Total,2016
$,Actual,By-product cash costs $/oz (per gold ounce) (from continuing operations),3/31/16,557,Total,2016
$,Actual,Co-product cash costs $/oz (per gold ounce) (from continuing operations),3/31/16,604,Total,2016
$,Million,Revenues (Adjusted),3/31/16,1156,Total,2016
$,Million,Revenues (GAAP),3/31/16,944,Total,2016
$,Million,Net (Loss) Earnings,3/31/16,80,Total,2016
 ,Actual,Tonnes of ore mined,3/31/16,162200,Red Lake,2016
 ,Actual,Average mill head grade (Au grams/tonne),3/31/16,16.27,Red Lake,2016
 ,Actual,Average gold recovery rate %,3/31/16,0.95,Red Lake,2016
 ,Actual,Gold (ounces) produced,3/31/16,78800,Red Lake,2016
 ,Actual,Gold (ounces) sold,3/31/16,83600,Red Lake,2016
$,Actual,All-in sustaining costs (per gold ounce),3/31/16,842,Red Lake,2016
$,Actual,By-product cash costs (per gold ounce),3/31/16,546,Red Lake,2016
$,Actual,Mining cost per tonne,3/31/16,179.44,Red Lake,2016
$,Actual,Milling cost per tonne,3/31/16,45.51,Red Lake,2016
$,Actual,General administrative cost per tonne,3/31/16,54,Red Lake,2016
$,Million,Revenues (millions),3/31/16,99,Red Lake,2016
$,Million,Depreciation and depletion (millions),3/31/16,31,Red Lake,2016
$,Million,Earnings from operations (millions),3/31/16,19,Red Lake,2016
$,Million,Expenditures on mining interests (millions),3/31/16,31,Red Lake,2016
 ,Actual,Tonnes of ore milled,3/31/16,910100,Porcupine,2016
 ,Actual,Average mill head grade (Au grams/tonne),3/31/16,2.63,Porcupine,2016
 ,Actual,Average gold recovery rate %,3/31/16,0.9,Porcupine,2016
 ,Actual,Gold (ounces) produced,3/31/16,74200,Porcupine,2016
 ,Actual,Gold (ounces) sold,3/31/16,75400,Porcupine,2016
$,Actual,All-in sustaining costs (per ounce),3/31/16,837,Porcupine,2016
$,Actual,By-product cash costs (per gold ounce),3/31/16,624,Porcupine,2016
$,Actual,Mining cost per tonne,3/31/16,87.53,Porcupine,2016
$,Actual,Milling cost per tonne,3/31/16,7.39,Porcupine,2016
$,Actual,General administrative cost per tonne,3/31/16,9.11,Porcupine,2016
$,Million,Revenues (millions),3/31/16,89,Porcupine,2016
$,Million,Depreciation and depletion (millions),3/31/16,18,Porcupine,2016
$,Million,Earnings from operations (millions),3/31/16,23,Porcupine,2016
$,Million,Expenditures on mining interests (millions),3/31/16,16,Porcupine,2016
 ,Actual,Tonnes of ore milled,3/31/16,289100,Musselwhite,2016
 ,Actual,Average mill head grade (Au grams/tonne),3/31/16,7.65,Musselwhite,2016
 ,Actual,Average gold recovery rate %,3/31/16,0.96,Musselwhite,2016
 ,Actual,Gold (ounces) produced,3/31/16,67700,Musselwhite,2016
 ,Actual,Gold (ounces) sold,3/31/16,67200,Musselwhite,2016
$,Actual,All-in sustaining costs (per ounce),3/31/16,553,Musselwhite,2016
$,Actual,By-product cash costs (per gold ounce),3/31/16,447,Musselwhite,2016
$,Actual,Mining cost per tonne,3/31/16,57.71,Musselwhite,2016
$,Actual,Milling cost per tonne,3/31/16,11.81,Musselwhite,2016
$,Actual,General administrative cost per tonne,3/31/16,39.26,Musselwhite,2016
$,Million,Revenues (millions),3/31/16,78,Musselwhite,2016
$,Million,Depreciation and depletion (millions),3/31/16,15,Musselwhite,2016
$,Million,Earnings from operations (millions),3/31/16,31,Musselwhite,2016
$,Million,Expenditures on mining interests (millions),3/31/16,5,Musselwhite,2016
 ,Actual,Tonnes of ore milled,3/31/16,386900,Eleonore,2016
 ,Actual,Average mill head grade (Au grams/tonne),3/31/16,5.65,Eleonore,2016
 ,Actual,Average gold recovery rate %,3/31/16,0.89,Eleonore,2016
 ,Actual,Gold (ounces) produced,3/31/16,66700,Eleonore,2016
 ,Actual,Gold (ounces) sold,3/31/16,69900,Eleonore,2016
$,Actual,All-in sustaining costs (per ounce),3/31/16,965,Eleonore,2016
$,Actual,By-product cash costs (per gold ounce),3/31/16,804,Eleonore,2016
$,Actual,Mining cost per tonne,3/31/16,60.08,Eleonore,2016
$,Actual,Milling cost per tonne,3/31/16,41.56,Eleonore,2016
$,Actual,General administrative cost per tonne,3/31/16,40.65,Eleonore,2016
$,Million,Revenues (millions),3/31/16,83,Eleonore,2016
$,Million,Depreciation and depletion (millions),3/31/16,36,Eleonore,2016
$,Million,Loss from operations (millions),3/31/16,-9,Eleonore,2016
$,Million,Expenditures on mining interests (millions),3/31/16,21,Eleonore,2016
 ,Actual,Tonnes of ore mined,3/31/16,10866400,Penasquito,2016
 ,Actual,Tonnes of waste removed,3/31/16,35152200,Penasquito,2016
 ,Actual,Average head grade (Au grams/tonne),3/31/16,0.68,Penasquito,2016
 ,Actual,Average head grade (Ag grams/tonne),3/31/16,22.53,Penasquito,2016
 ,Actual,Average head grade (Pb%),3/31/16,0.0022,Penasquito,2016
 ,Actual,Average head grade (Zn%),3/31/16,0.0053,Penasquito,2016
 ,Actual,Sulphide Ore - Tonnes of ore milled,3/31/16,9233300,Penasquito,2016
 ,Actual,Gold average recovery rate (%),3/31/16,0.66,Penasquito Sulphide,2016
 ,Actual,Silver average recovery rate (%),3/31/16,0.79,Penasquito Sulphide,2016
 ,Actual,Lead average recovery rate (%),3/31/16,0.69,Penasquito Sulphide,2016
 ,Actual,Zinc average recovery rate (%),3/31/16,0.77,Penasquito Sulphide,2016
 ,Actual,Gold (ounces) produced,3/31/16,124700,Penasquito,2016
 ,Actual,Silver (ounces) produced,3/31/16,4713700,Penasquito,2016
 ,Thousand,Lead (thousands of pounds) produced,3/31/16,29000,Penasquito,2016
 ,Thousand,Zinc (thousands of pounds) produced,3/31/16,71100,Penasquito,2016
 ,Actual,Gold (ounces) sold,3/31/16,121700,Penasquito,2016
 ,Actual,Silver (ounces) sold,3/31/16,4760800,Penasquito,2016
 ,Thousand,Lead (thousands of pounds) sold,3/31/16,30200,Penasquito,2016
 ,Thousand,Zinc (thousands of pounds) sold,3/31/16,73100,Penasquito,2016
$,Actual,All-in sustaining costs (per ounce),3/31/16,1004,Penasquito,2016
$,Actual,By-product cash costs (per gold ounce),3/31/16,513,Penasquito,2016
$,Actual,Mining cost per tonne,3/31/16,1.99,Penasquito,2016
$,Actual,Milling cost per tonne,3/31/16,5.56,Penasquito,2016
$,Actual,General admistrative cost per tonne,3/31/16,1.99,Penasquito,2016
$,Million,Revenues (millions),3/31/16,264,Penasquito,2016
$,Million,Depreciation and depletion (millions),3/31/16,57,Penasquito,2016
$,Million,Earnings (Loss) from operations (millions),3/31/16,35,Penasquito,2016
$,Million,Expenditures on mining interests (millions),3/31/16,62,Penasquito,2016
 ,Actual,Tonnes of ore mined,3/31/16,3996700,Los Filos,2016
 ,Actual,Tonnes of waste removed,3/31/16,5695100,Los Filos,2016
 ,Actual,Ratio of waste to ore,3/31/16,1.5,Los Filos,2016
 ,Actual,Tonnes of ore processed,3/31/16,3947900,Los Filos,2016
 ,Actual,Average grade processed (Au grams/tonne),3/31/16,0.9,Los Filos,2016
 ,Actual,Average gold recovery rate %,3/31/16,0.57,Los Filos,2016
 ,Actual,Gold (ounces) produced,3/31/16,81000,Los Filos,2016
 ,Actual,Gold (ounces) sold,3/31/16,75400,Los Filos,2016
$,Actual,All-in sustaining costs (per ounce),3/31/16,839,Los Filos,2016
$,Actual,By-product cash costs (per gold ounce),3/31/16,763,Los Filos,2016
$,Actual,Open-pit mining cost per tonne,3/31/16,1.71,Los Filos,2016
$,Actual,Processing cost per tonne leached,3/31/16,4.7,Los Filos,2016
$,Actual,General administrative cost per tonne,3/31/16,2.16,Los Filos,2016
$,Million,Revenues (millions),3/31/16,90,Los Filos,2016
$,Million,Depreciation and depletion (millions),3/31/16,4,Los Filos,2016
$,Million,Earnings from operations (millions),3/31/16,28,Los Filos,2016
$,Million,Expenditures on mining interests (millions),3/31/16,5,Los Filos,2016
 ,Actual,Tonnes of ore milled,3/31/16,293100,Marlin,2016
 ,Actual,Average mill head grade (Au grams/tonne),3/31/16,3.84,Marlin,2016
 ,Actual,Average mill head grade (Ag grams/tonne),3/31/16,170.78,Marlin,2016
 ,Actual,Average gold recovery rate %,3/31/16,0.97,Marlin,2016
 ,Actual,Average silver recovery rate %,3/31/16,0.95,Marlin,2016
 ,Actual,Gold (ounces) produced,3/31/16,35400,Marlin,2016
 ,Actual,Silver (ounces) produced,3/31/16,1541500,Marlin,2016
 ,Actual,Gold (ounces) sold,3/31/16,36400,Marlin,2016
 ,Actual,Silver (ounces) sold,3/31/16,1569800,Marlin,2016
$,Actual,All-in sustaining costs (per ounce),3/31/16,940,Marlin,2016
$,Actual,By-product cash costs (per gold ounce),3/31/16,728,Marlin,2016
$,Actual,Mining cost per tonne,3/31/16,104.92,Marlin,2016
$,Actual,Milling cost per tonne,3/31/16,29.52,Marlin,2016
$,Actual,General administrative cost per tonne,3/31/16,28,Marlin,2016
$,Million,Revenues (millions),3/31/16,67,Marlin,2016
$,Million,Depreciation and depletion (millions),3/31/16,35,Marlin,2016
$,Million,Earnings from operations (millions),3/31/16,-20,Marlin,2016
$,Million,Expenditures on mining interests (millions),3/31/16,2,Marlin,2016
 ,Actual,Tonnes of ore milled,3/31/16,277300,Cerro Negro,2016
 ,Actual,Average mill head grade (Gold gramms/tonne),3/31/16,12.59,Cerro Negro,2016
 ,Actual,Average mill head grade (Silver gramms/tonne),3/31/16,135.3,Cerro Negro,2016
 ,Actual,Average gold recovery rate %,3/31/16,0.94,Cerro Negro,2016
 ,Actual,Average silver recovery rate %,3/31/16,0.89,Cerro Negro,2016
 ,Actual,Gold (ounces) produced,3/31/16,115400,Cerro Negro,2016
 ,Actual,Silver (ounces) produced,3/31/16,1156000,Cerro Negro,2016
 ,Actual,Gold equivalent (ounces) produced,3/31/16,135000,Cerro Negro,2016
 ,Actual,Gold (ounces) sold,3/31/16,128000,Cerro Negro,2016
 ,Actual,Silver (ounces) sold,3/31/16,1290000,Cerro Negro,2016
$,Actual,Total cash costs - by - product (per ounce),3/31/16,381,Cerro Negro,2016
$,Actual,Total cash costs - co - product (per ounce),3/31/16,464,Cerro Negro,2016
$,Actual,All in sustaining costs (per ounce),3/31/16,503,Cerro Negro,2016
$,Actual,Mining cost per tonne,3/31/16,92.39,Cerro Negro,2016
$,Actual,Milling cost per tonne,3/31/16,32.65,Cerro Negro,2016
$,Actual,General administrative cost per tonne,3/31/16,86.55,Cerro Negro,2016
$,Million,Revenues (millions),3/31/16,174,Cerro Negro,2016
$,Million,Depreciation and depletion (millions),3/31/16,67,Cerro Negro,2016
$,Million,Earnings (loss) from operations (millions),3/31/16,38,Cerro Negro,2016
$,Million,Expenditures on mining interests (millions),3/31/16,25,Cerro Negro,2016
 ,Actual,Tonnes of ore mined,3/31/16,2937300,Alumbrera,2016
 ,Actual,Tonnes of waste removed,3/31/16,2772800,Alumbrera,2016
 ,Actual,Ratio of waste to ore,3/31/16,0.9,Alumbrera,2016
 ,Actual,Tonnes of ore milled,3/31/16,3191900,Alumbrera,2016
 ,Actual,Average mill head grade (Au grams/tonne),3/31/16,0.35,Alumbrera,2016
 ,Actual,Average mill head grade (Copper %),3/31/16,0.0028,Alumbrera,2016
 ,Actual,Average gold recovery rate %,3/31/16,0.7,Alumbrera,2016
 ,Actual,Average copper recovery rate %,3/31/16,0.84,Alumbrera,2016
 ,Actual,Gold (ounces) produced,3/31/16,25500,Alumbrera,2016
 ,Thousand,Copper (thousands of pounds) produced,3/31/16,16600,Alumbrera,2016
 ,Actual,Gold (ounces) sold,3/31/16,29400,Alumbrera,2016
 ,Thousand,Copper (thousands of pounds) sold,3/31/16,19100,Alumbrera,2016
$,Actual,All-in sustaining costs (per gold ounce),3/31/16,1115,Alumbrera,2016
$,Actual,By-product cash costs (per gold ounce),3/31/16,1036,Alumbrera,2016
$,Actual,Mining cost per tonne,3/31/16,2.9,Alumbrera,2016
$,Actual,Milling cost per tonne,3/31/16,4.76,Alumbrera,2016
$,Actual,General administrative cost per tonne,3/31/16,1.21,Alumbrera,2016
$,Million,Revenues (millions),3/31/16,73,Alumbrera,2016
$,Million,Depreciation and depletion (millions),3/31/16,7,Alumbrera,2016
$,Million,Earnings from operations (millions),3/31/16,1,Alumbrera,2016
$,Million,Expenditures on mining interests (millions),3/31/16,0,Alumbrera,2016
 ,Actual,Tonnes of ore mined,3/31/16,2096000,Pueblo Viejo,2016
 ,Actual,Tonnes of waste removed,3/31/16,2117000,Pueblo Viejo,2016
 ,Actual,Tonnes of ore processed,3/31/16,764200,Pueblo Viejo,2016
 ,Actual,Average grade - gold,3/31/16,5.34,Pueblo Viejo,2016
 ,Actual,Average gold recovey rate %,3/31/16,0.87,Pueblo Viejo,2016
 ,Actual,Gold (ounces) produced,3/31/16,114300,Pueblo Viejo,2016
 ,Actual,Gold (ounces) sold,3/31/16,112400,Pueblo Viejo,2016
$,Actual,All-in sustaining costs (per gold ounce),3/31/16,443,Pueblo Viejo,2016
$,Actual,By-product cash cost (per gold ounce),3/31/16,359,Pueblo Viejo,2016
$,Actual,Mining cost per tonne,3/31/16,2.71,Pueblo Viejo,2016
$,Actual,Milling cost per tonne,3/31/16,40.16,Pueblo Viejo,2016
$,Actual,General administrative cost per tonne,3/31/16,10.24,Pueblo Viejo,2016
$,Million,Revenues,3/31/16,139,Pueblo Viejo,2016
$,Million,Depreciation and depletion,3/31/16,13,Pueblo Viejo,2016
$,Million,Earnings (loss) from operations,3/31/16,81,Pueblo Viejo,2016
$,Million,Expenditures on mining interests,3/31/16,9,Pueblo Viejo,2016
 ,Actual,Gold (ounces) produced,6/30/16,613400,Total,2016
 ,Actual,Silver (ounces) produced,6/30/16,5300000,Total,2016
 ,Thousand,Copper (thousands of pounds) produced,6/30/16,14400,Total,2016
 ,Thousand,Lead (thousands of pounds) produced,6/30/16,17100,Total,2016
 ,Thousand,Zinc (thousands of pounds) produced,6/30/16,38300,Total,2016
 ,Actual,Gold (ounces) sold,6/30/16,615500,Total,2016
$,Actual,Average realized gold price (per ounce),6/30/16,1277,Total,2016
